year_of_assessment,resident_type,chargeable_income_group,no_of_companies,chargeable_income,net_tax_assessed
2012,Non-Tax Resident,"3,000,001 - 5,000,000",42,164,26
2012,Non-Tax Resident,"5,000,001 & above",154,10376,1292
2012,Tax Resident,"10,000 & below",14180,47,8
2012,Tax Resident,"10,001 - 20,000",5554,82,14
2012,Tax Resident,"20,001 - 30,000",4006,99,17
2012,Tax Resident,"30,001 - 60,000",7362,322,55
2012,Tax Resident,"60,001 - 100,000",5444,427,72
2012,Tax Resident,"100,001 - 300,000",7898,1316,223
2012,Tax Resident,"300,001 - 500,000",2340,917,155
2012,Tax Resident,"500,001 - 1,000,000",2668,1895,319
2012,Tax Resident,"1,000,001 - 3,000,000",2990,5167,859
2012,Tax Resident,"3,000,001 - 5,000,000",848,3290,542
2012,Tax Resident,"5,000,001 & above",1920,72678,9691
2013,Non-Tax Resident,"10,000 & below",340,1,0
2013,Non-Tax Resident,"10,001 - 20,000",244,4,0
2013,Non-Tax Resident,"20,001 - 30,000",195,5,1
2013,Non-Tax Resident,"30,001 - 60,000",343,15,2
2013,Non-Tax Resident,"60,001 - 100,000",196,15,2
2013,Non-Tax Resident,"100,001 - 300,000",218,36,5
2013,Non-Tax Resident,"300,001 - 500,000",73,28,4
2013,Non-Tax Resident,"500,001 - 1,000,000",86,62,9
2013,Non-Tax Resident,"1,000,001 - 3,000,000",101,182,28
2013,Non-Tax Resident,"3,000,001 - 5,000,000",37,145,23
2013,Non-Tax Resident,"5,000,001 & above",162,9814,1235
2013,Tax Resident,"10,000 & below",15148,50,6
2013,Tax Resident,"10,001 - 20,000",6056,89,12
2013,Tax Resident,"20,001 - 30,000",4104,102,13
2013,Tax Resident,"30,001 - 60,000",7901,344,45
2013,Tax Resident,"60,001 - 100,000",6015,470,62
2013,Tax Resident,"100,001 - 300,000",8135,1365,182
2013,Tax Resident,"300,001 - 500,000",2642,1024,135
2013,Tax Resident,"500,001 - 1,000,000",2777,1961,270
2013,Tax Resident,"1,000,001 - 3,000,000",2998,5172,799
2013,Tax Resident,"3,000,001 - 5,000,000",877,3353,533
2013,Tax Resident,"5,000,001 & above",1887,73306,9554
2014,Non-Tax Resident,"10,000 & below",341,1,0
2014,Non-Tax Resident,"10,001 - 20,000",214,3,0
2014,Non-Tax Resident,"20,001 - 30,000",207,5,1
2014,Non-Tax Resident,"30,001 - 60,000",345,15,2
2014,Non-Tax Resident,"60,001 - 100,000",195,15,2
2014,Non-Tax Resident,"100,001 - 300,000",224,36,5
